name,email,password,district,specializationName,availability,bio,qualifications,languages,experienceYears,location,photoUrl,verificationStatus
"Dr. Deepa Krishnan",deepa.k@email.com,hashed_password_placeholder,Kollam,Cardiologist,"[{""day"":""Monday"",""slots"":[{""startTime"":""10:00"",""endTime"":""17:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""17:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""17:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""10:00"",""endTime"":""17:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""10:00"",""endTime"":""17:00""}]}]","Experienced cardiologist in Kollam, focusing on heart failure management and cardiac imaging.","MBBS, MD, DM (Cardiology)","Malayalam, English",17,"8.8932,76.6141","https://example.com/photos/deepa_krishnan.jpg",Approved
"Dr. Hari Prasad",hari.prasad@email.com,hashed_password_placeholder,Kollam,Cardiologist,"[]","Availability: By Appointment. Specializes in rhythm disorders and electrophysiology. Provides state-of-the-art cardiac care to the people of Kollam.","MBBS, DNB (Cardiology)","Malayalam, English",11,"8.8900,76.6120","https://example.com/photos/hari_prasad.jpg",Approved
"Dr. Meera Menon",meera.menon@email.com,hashed_password_placeholder,Kollam,Neurologist,"[{""day"":""Tuesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""15:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""09:00"",""endTime"":""15:00""}]},{""day"":""Saturday"",""slots"":[{""startTime"":""09:00"",""endTime"":""15:00""}]}]","A dedicated neurologist with a special interest in neurodegenerative diseases and dementia care in Kollam.","MBBS, MD, DM (Neurology)","Malayalam, English",14,"8.8951,76.6105","https://example.com/photos/meera_menon.jpg",Approved
"Dr. Faisal Ahmed",faisal.ahmed@email.com,hashed_password_placeholder,Kollam,Neurologist,"[{""day"":""Monday"",""slots"":[{""startTime"":""16:00"",""endTime"":""20:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""16:00"",""endTime"":""20:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""16:00"",""endTime"":""20:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""16:00"",""endTime"":""20:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""16:00"",""endTime"":""20:00""}]}]","Focuses on peripheral nerve disorders and neuromuscular diseases. A well-respected specialist in the Kollam medical community.","MBBS, DNB (Neurology)","Malayalam, English, Hindi",8,"8.8915,76.6155","https://example.com/photos/faisal_ahmed.jpg",Approved
"Dr. John Jacob",john.jacob@email.com,hashed_password_placeholder,Kollam,Orthopedic Surgeon,"[{""day"":""Monday"",""slots"":[{""startTime"":""10:00"",""endTime"":""13:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""13:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""13:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""10:00"",""endTime"":""13:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""10:00"",""endTime"":""13:00""}]},{""day"":""Saturday"",""slots"":[{""startTime"":""10:00"",""endTime"":""13:00""}]}]","Leading orthopedic surgeon in Kollam specializing in arthroscopy and trauma surgery. Committed to restoring patient mobility.","MBBS, MS (Orthopedics)","Malayalam, English",22,"8.8922,76.6130","https://example.com/photos/john_jacob.jpg",Approved
"Dr. Rekha Nair",rekha.nair@email.com,hashed_password_placeholder,Kollam,Orthopedic Surgeon,"[{""day"":""Monday"",""slots"":[{""startTime"":""15:00"",""endTime"":""19:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""15:00"",""endTime"":""19:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""15:00"",""endTime"":""19:00""}]}]","Expert in hand surgery and spine-related orthopedic issues. Provides comprehensive care in her Kollam clinic.","MBBS, D-Ortho, DNB (Orthopedics)","Malayalam, English",12,"8.8940,76.6162","https://example.com/photos/rekha_nair.jpg",Approved
"Dr. Vinod Pillai",vinod.pillai@email.com,hashed_password_placeholder,Kollam,Dermatologist,"[{""day"":""Monday"",""slots"":[{""startTime"":""11:00"",""endTime"":""18:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""11:00"",""endTime"":""18:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""11:00"",""endTime"":""18:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""11:00"",""endTime"":""18:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""11:00"",""endTime"":""18:00""}]}]","Specializes in pediatric dermatology and dermatosurgery. Known for his meticulous approach and excellent patient outcomes in Kollam.","MBBS, MD (Dermatology)","Malayalam, English",15,"8.8895,76.6111","https://example.com/photos/vinod_pillai.jpg",Approved
"Dr. Divya Mathew",divya.mathew@email.com,hashed_password_placeholder,Kollam,Dermatologist,"[{""day"":""Tuesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]},{""day"":""Saturday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]}]","Provides expert care for acne, hair loss, and other common skin ailments. A popular dermatologist among the youth of Kollam.","MBBS, DDVL","Malayalam, English",7,"8.8960,76.6148","https://example.com/photos/divya_mathew.jpg",Approved
"Dr. Asha Varghese",asha.varghese@email.com,hashed_password_placeholder,Kollam,Pediatrician,"[{""day"":""Monday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Saturday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]}]","A senior pediatrician in Kollam with a wealth of experience in managing childhood illnesses and promoting child wellness.","MBBS, MD (Pediatrics)","Malayalam, English",25,"8.8905,76.6125","https://example.com/photos/asha_varghese.jpg",Approved
"Dr. Nithin Raj",nithin.raj@email.com,hashed_password_placeholder,Kollam,Pediatrician,"[{""day"":""Monday"",""slots"":[{""startTime"":""16:00"",""endTime"":""19:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""16:00"",""endTime"":""19:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""16:00"",""endTime"":""19:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""16:00"",""endTime"":""19:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""16:00"",""endTime"":""19:00""}]}]","Focuses on adolescent medicine and behavioral pediatrics. A friendly and approachable doctor for young patients in Kollam.","MBBS, DCH","Malayalam, English",9,"8.8935,76.6170","https://example.com/photos/nithin_raj.jpg",Approved
"Dr. Gita Gopinath",gita.gopinath@email.com,hashed_password_placeholder,Pathanamthitta,Cardiologist,"[{""day"":""Monday"",""slots"":[{""startTime"":""09:00"",""endTime"":""16:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""16:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""09:00"",""endTime"":""16:00""}]}]","A trusted cardiologist in Pathanamthitta, providing comprehensive cardiac care including echocardiography and stress testing.","MBBS, MD, DNB (Cardiology)","Malayalam, English",19,"9.2647,76.7870","https://example.com/photos/gita_gopinath.jpg",Approved
"Dr. Arjun Das",arjun.das@email.com,hashed_password_placeholder,Pathanamthitta,Cardiologist,"[]","Availability: By Appointment. Specializing in hypertension and lipid management to prevent heart disease in the Pathanamthitta region.","MBBS, MD (General Medicine), Fellowship in Cardiology","Malayalam, English",10,"9.2660,76.7850","https://example.com/photos/arjun_das.jpg",Approved
"Dr. Renuka Devi",renuka.devi@email.com,hashed_password_placeholder,Pathanamthitta,Neurologist,"[{""day"":""Tuesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""17:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""10:00"",""endTime"":""17:00""}]}]","Expert in managing epilepsy and chronic headaches. A beacon of hope for neurological patients in Pathanamthitta.","MBBS, MD, DM (Neurology)","Malayalam, English",13,"9.2630,76.7885","https://example.com/photos/renuka_devi.jpg",Approved
"Dr. Sandeep Menon",sandeep.menon@email.com,hashed_password_placeholder,Pathanamthitta,Neurologist,"[{""day"":""Monday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]}]","Provides specialized care for stroke rehabilitation and nerve conduction studies in his Pathanamthitta clinic.","MBBS, DNB (Neurology)","Malayalam, English",8,"9.2675,76.7833","https://example.com/photos/sandeep_menon.jpg",Approved
"Dr. Joseph Kurian",joseph.kurian@email.com,hashed_password_placeholder,Pathanamthitta,Orthopedic Surgeon,"[{""day"":""Monday"",""slots"":[{""startTime"":""09:00"",""endTime"":""14:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""14:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""14:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""09:00"",""endTime"":""14:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""09:00"",""endTime"":""14:00""}]},{""day"":""Saturday"",""slots"":[{""startTime"":""09:00"",""endTime"":""14:00""}]}]","Senior orthopedic surgeon in Pathanamthitta specializing in complex trauma and fracture care.","MBBS, MS (Orthopedics)","Malayalam, English",24,"9.2625,76.7865","https://example.com/photos/joseph_kurian.jpg",Approved
"Dr. Maya Pillai",maya.pillai@email.com,hashed_password_placeholder,Pathanamthitta,Orthopedic Surgeon,"[{""day"":""Monday"",""slots"":[{""startTime"":""16:00"",""endTime"":""19:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""16:00"",""endTime"":""19:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""16:00"",""endTime"":""19:00""}]}]","Focuses on arthritis management and non-surgical orthopedic treatments for the residents of Pathanamthitta.","MBBS, D-Ortho","Malayalam, English",14,"9.2655,76.7890","https://example.com/photos/maya_pillai.jpg",Approved
"Dr. Abdul Kareem",abdul.kareem@email.com,hashed_password_placeholder,Pathanamthitta,Dermatologist,"[{""day"":""Monday"",""slots"":[{""startTime"":""10:00"",""endTime"":""18:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""18:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""18:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""10:00"",""endTime"":""18:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""10:00"",""endTime"":""18:00""}]}]","Renowned for treating a wide range of skin diseases with a patient-first approach in Pathanamthitta.","MBBS, MD (Dermatology)","Malayalam, English",16,"9.2640,76.7845","https://example.com/photos/abdul_kareem.jpg",Approved
"Dr. Sreelatha Namboothiri",sreelatha.n@email.com,hashed_password_placeholder,Pathanamthitta,Dermatologist,"[{""day"":""Tuesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Saturday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]}]","Specialist in aesthetic dermatology, offering services like chemical peels and laser treatments in Pathanamthitta.","MBBS, DDVL","Malayalam, English",9,"9.2680,76.7878","https://example.com/photos/sreelatha_namboothiri.jpg",Approved
"Dr. Thomas Chacko",thomas.chacko@email.com,hashed_password_placeholder,Pathanamthitta,Pediatrician,"[{""day"":""Monday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""},{""startTime"":""17:00"",""endTime"":""19:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""},{""startTime"":""17:00"",""endTime"":""19:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""},{""startTime"":""17:00"",""endTime"":""19:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""},{""startTime"":""17:00"",""endTime"":""19:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""},{""startTime"":""17:00"",""endTime"":""19:00""}]},{""day"":""Saturday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""},{""startTime"":""17:00"",""endTime"":""19:00""}]}]","A beloved pediatrician in Pathanamthitta, known for his gentle demeanor and expert diagnosis in child health.","MBBS, MD (Pediatrics)","Malayalam, English",21,"9.2618,76.7858","https://example.com/photos/thomas_chacko.jpg",Approved
"Dr. Parvathy S",parvathy.s@email.com,hashed_password_placeholder,Pathanamthitta,Pediatrician,"[{""day"":""Monday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]}]","Committed to providing holistic pediatric care, including nutritional guidance and developmental assessments, in Pathanamthitta.","MBBS, DCH","Malayalam, English",7,"9.2666,76.7821","https://example.com/photos/parvathy_s.jpg",Approved
"Dr. Vijay Kumar",vijay.kumar@email.com,hashed_password_placeholder,Alappuzha,Cardiologist,"[{""day"":""Monday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]}]","A leading cardiologist in Alappuzha, specializing in coronary artery disease and preventative health measures.","MBBS, MD, DM (Cardiology)","Malayalam, English",20,"9.4981,76.3388","https://example.com/photos/vijay_kumar.jpg",Approved
"Dr. Sunitha Menon",sunitha.menon@email.com,hashed_password_placeholder,Alappuzha,Cardiologist,"[{""day"":""Tuesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Saturday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]}]","Provides expert consultation on arrhythmias and valvular heart disease to the Alappuzha community.","MBBS, DNB (Cardiology)","Malayalam, English",12,"9.5002,76.3355","https://example.com/photos/sunitha_menon.jpg",Approved
"Dr. Anand Krishnan",anand.krishnan@email.com,hashed_password_placeholder,Alappuzha,Neurologist,"[{""day"":""Monday"",""slots"":[{""startTime"":""10:00"",""endTime"":""17:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""17:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""10:00"",""endTime"":""17:00""}]}]","Specialist in epilepsy and sleep disorders, offering advanced neurological diagnostics in Alappuzha.","MBBS, MD, DM (Neurology)","Malayalam, English",15,"9.4970,76.3399","https://example.com/photos/anand_krishnan.jpg",Approved
"Dr. Latha Nair",latha.nair@email.com,hashed_password_placeholder,Alappuzha,Neurologist,"[]","Availability: By Appointment. Focuses on neuromuscular disorders and provides comprehensive care for patients with chronic neurological conditions.","MBBS, DNB (Neurology)","Malayalam, English",10,"9.5015,76.3340","https://example.com/photos/latha_nair.jpg",Approved
"Dr. Balachandran K",balachandran.k@email.com,hashed_password_placeholder,Alappuzha,Orthopedic Surgeon,"[{""day"":""Monday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Saturday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]}]","A veteran orthopedic surgeon in Alappuzha with extensive experience in joint replacement and spine surgery.","MBBS, MS (Orthopedics)","Malayalam, English",28,"9.4965,76.3370","https://example.com/photos/balachandran_k.jpg",Approved
"Dr. Nimmy George",nimmy.george@email.com,hashed_password_placeholder,Alappuzha,Orthopedic Surgeon,"[{""day"":""Monday"",""slots"":[{""startTime"":""15:00"",""endTime"":""19:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""15:00"",""endTime"":""19:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""15:00"",""endTime"":""19:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""15:00"",""endTime"":""19:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""15:00"",""endTime"":""19:00""}]}]","Specializes in sports medicine and arthroscopic surgery, helping athletes in Alappuzha return to their peak performance.","MBBS, D-Ortho, DNB (Orthopedics)","Malayalam, English",9,"9.5025,76.3385","https://example.com/photos/nimmy_george.jpg",Approved
"Dr. Naseema Beegum",naseema.b@email.com,hashed_password_placeholder,Alappuzha,Dermatologist,"[{""day"":""Monday"",""slots"":[{""startTime"":""11:00"",""endTime"":""17:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""11:00"",""endTime"":""17:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""11:00"",""endTime"":""17:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""11:00"",""endTime"":""17:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""11:00"",""endTime"":""17:00""}]},{""day"":""Saturday"",""slots"":[{""startTime"":""11:00"",""endTime"":""17:00""}]}]","A popular dermatologist in Alappuzha, known for her expertise in treating acne, pigmentation, and hair-related issues.","MBBS, MD (Dermatology)","Malayalam, English, Hindi",13,"9.4990,76.3360","https://example.com/photos/naseema_beegum.jpg",Approved
"Dr. Sajan Varghese",sajan.varghese@email.com,hashed_password_placeholder,Alappuzha,Dermatologist,"[{""day"":""Tuesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""14:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""10:00"",""endTime"":""14:00""}]}]","Offers specialized treatment for psoriasis, vitiligo, and other autoimmune skin diseases in his Alappuzha clinic.","MBBS, DDVL","Malayalam, English",11,"9.4950,76.3400","https://example.com/photos/sajan_varghese.jpg",Approved
"Dr. Mary Joseph",mary.joseph@email.com,hashed_password_placeholder,Alappuzha,Pediatrician,"[{""day"":""Monday"",""slots"":[{""startTime"":""09:00"",""endTime"":""17:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""17:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""17:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""09:00"",""endTime"":""17:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""09:00"",""endTime"":""17:00""}]}]","A senior pediatrician dedicated to child health and wellness, providing comprehensive care from infancy to adolescence in Alappuzha.","MBBS, MD (Pediatrics)","Malayalam, English",22,"9.4988,76.3392","https://example.com/photos/mary_joseph.jpg",Approved
"Dr. Praveen Gopi",praveen.gopi@email.com,hashed_password_placeholder,Alappuzha,Pediatrician,"[{""day"":""Monday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]},{""day"":""Saturday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]}]","Focuses on pediatric emergencies and infectious diseases. A reliable and accessible doctor for parents in Alappuzha.","MBBS, DCH","Malayalam, English",8,"9.5010,76.3333","https://example.com/photos/praveen_gopi.jpg",Approved
